Sektionen,
SEK01,
Sektionsavgifter,39000
Sektionsaktiviteter,-10000
Sektionens representation,-5000
Funkionärsvård,-70000
Arbetsglädje,-12000
Arbetskläder Funktionärer,-1000
Medaljer,-500
Pant,15000
Expo,-2000
SEK02,
Revisorer,-500
SEK03,
Valbered,-500
SEK05,
Skiphte,-10000
Summa,-57500
,
Sexmästeriet,
SEX01,
E6 Allmänt,15000
Summa,15000
,
Näringslivsutskottet,
ARMU01,
Sponsring,75000
Teknikfokus,110000
Summa,185000
,
Informationsutskottet,
INFU01,
Alumniverksamhet,-1000
Nolleguide,-5000
Datordrift,-2000
Ljud och ljus,0
HeHE,0
Summa,-8000
,
Källarmästeriet,
KM01,
Gille,33000
Fast tillstånd,-14000
Summa,19000
,
Cafémästeriet,
CM01,
LED,40000
Tillsyn,-2000
LED-tack,0
CM02,
Mojter,0
Summa,38000
,
Styrelsen,
STY01,
Klädsel,-6500
Styrelserepresentation,-5000
Styrelsen internt,-11000
Summa,-22500
,
Nöjesutskottet,
NOJU01,
Allmänt,-1500
NOJU02,
Biljard och spel,0
Tandem,-500
Sångarstriden,-2000
Utedischo,25000
NOJU03,
Sporta med E,-7000
Summa,14000
,
Studierådet,
SRE01,
CEQ-intäkter,10000
SRE disponibelt,-10000
Summa,0
,
Nolleutskottet,
PHOS01,
Nollning Allmänt,-20000
Phöset internt,-15000
Phaddertack,-5000
Summa,-40000
,
Förvaltningsutskottet,
FVU01,
Expedition,-13000
Kontantfri lösning,-15000
Fin. int. och kost.,-5000
E-shop,5000
Arkiv,0
FVU02,
Edekvata,-20000
Trivsel,-1000
Summa,-49000
,
Total summa,94000
,
Mål,100000
